date,maxTemp,minTemp,rainfall,morningHumidity,eveningHumidity
2004-01-01,18.8,2.4,0.0,96.9,81.7
2004-01-02,19.0,1.1,0.0,96.9,78.5
2004-01-03,18.3,1.7,0.0,100.0,86.6
2004-01-04,18.3,1.0,0.0,96.7,82.6
2004-01-05,17.8,1.3,0.0,96.7,86.9
2004-01-06,19.5,2.0,0.0,94.4,65.7
2004-01-07,20.9,2.0,0.0,97.0,72.5
2004-01-08,20.0,2.0,0.0,96.9,62.4
2004-01-09,20.3,1.0,0.0,96.9,64.6
2004-01-10,20.5,1.3,0.0,93.6,60.7
2004-01-11,19.5,1.5,0.0,96.9,71.3
2004-01-12,20.3,2.5,0.0,97.0,65.0
2004-01-13,19.5,2.4,0.0,94.0,77.0
2004-01-14,19.5,6.0,0.0,95.9,68.5
2004-01-15,19.5,2.9,0.0,94.1,71.6
2004-01-16,16.6,6.7,0.0,92.2,80.7
2004-01-17,18.6,3.5,0.0,97.1,69.1
2004-01-18,20.0,2.3,0.0,96.9,72.9
2004-01-19,20.5,3.0,0.0,95.7,73.6
2004-01-20,19.2,2.8,0.0,97.0,90.5
2004-01-21,18.2,6.5,0.0,97.3,80.6
2004-01-22,17.6,8.6,6.4,97.5,75.4
2004-01-23,11.5,8.0,5.0,97.5,97.6
2004-01-24,11.0,7.0,6.4,97.5,87.3
2004-01-25,15.1,3.0,9.1,98.4,81.4
2004-01-26,16.6,0.6,0.0,96.7,75.2
2004-01-27,17.1,0.6,0.0,96.9,73.4
2004-01-28,17.5,0.8,0.0,96.8,76.7
2004-01-29,17.7,3.6,0.0,98.5,78.7
2004-01-30,19.2,3.3,0.0,95.6,70.0
2004-01-31,17.3,4.3,0.0,94.5,71.1
2004-02-01,19.4,1.5,0.0,100.0,54.9
2004-02-02,19.5,1.0,0.0,93.9,55.3
2004-02-03,19.0,1.0,0.0,96.8,63.1
2004-02-04,17.6,0.6,0.0,93.8,86.0
2004-02-05,18.2,5.0,0.0,86.5,68.1
2004-02-06,17.0,2.7,0.0,95.7,62.1
2004-02-07,18.5,2.6,0.0,88.6,72.7
2004-02-08,19.6,1.8,0.0,94.0,67.4
2004-02-09,22.4,2.0,0.0,91.2,57.8
